entries,number of compounds,number of edges,Pairwise RMSE,Pairwise MUE,Edgewise RMSE,Edgewise MUE,R-squared,Kendall tau
chk1_set6_out,3,3,1.26,1.19,1.26,1.19,0.91,1.00
fxa_set5_out,2,1,0.68,0.68,0.67,0.67,1.00,1.00
hc_bace1_out,7,9,0.99,0.80,1.07,0.89,0.67,0.52
cr_bace2_out,12,17,1.27,1.06,1.15,0.94,0.61,0.63
chk1_set7_out,3,3,1.31,1.13,1.31,1.13,0.68,0.33
pb_bace3_out,4,6,0.61,0.47,0.61,0.47,0.80,0.67
fxa_set4_out,11,14,1.42,1.17,1.20,0.93,0.42,0.45
cr_bace1_out,11,13,1.72,1.38,1.49,1.29,0.01,0.26
hc_bace2_out,10,13,1.55,1.28,1.42,1.14,0.01,0.00
chk1_set5_out,3,3,1.01,0.84,1.01,0.84,0.94,1.00
fxa_set6_out,6,13,1.42,1.25,1.36,1.19,0.82,0.33
chk1_set4_out,2,1,0.67,0.67,0.67,0.67,1.00,-1.00
chk1_set1_out,3,3,1.81,1.67,1.81,1.67,0.41,0.33
fxa_set3_out,4,6,0.68,0.59,0.68,0.59,0.18,-0.55
chk1_set2_out,2,1,0.11,0.11,0.11,0.11,1.00,1.00
fxa_yoshikawa_set_out,27,46,1.83,1.50,1.88,1.55,0.56,0.51
chk1_set3_out,4,6,0.57,0.48,0.57,0.48,0.93,1.00
