Ligand name,Exp. dG (kcal/mol),Pred. dG (kcal/mol),Pred. dG std. error (kcal/mol)
5f,-11.570840835571289,-12.739999771118164,0.10000000149011612
5g,-10.171731948852539,-8.420000076293945,0.09000000357627869
5e,-8.26799201965332,-8.149999618530273,0.10000000149011612
5i,-10.805952072143555,-11.180000305175781,0.11999999731779099
5b,-7.3641228675842285,-6.710000038146973,0.10000000149011612
5h,-12.7782621383667,-14.819999694824219,0.10000000149011612
5a,-11.24702262878418,-10.15999984741211,0.09000000357627869
5k,-11.336624145507812,-13.029999732971191,0.10000000149011612
5d,-11.44223403930664,-12.130000114440918,0.09000000357627869
5c,-11.627310752868652,-11.390000343322754,0.09000000357627869
8e,-11.169207572937012,-11.760000228881836,0.09000000357627869
8b,-8.129011154174805,-8.59000015258789,0.10000000149011612
8d,-7.691995143890381,-9.220000267028809,0.09000000357627869
8c,-7.805192470550537,-8.229999542236328,0.09000000357627869
8g,-9.903937339782715,-11.15999984741211,0.09000000357627869
A_cor,-11.784735679626465,-10.270000457763672,0.10000000149011612
8f,-9.769577980041504,-9.239999771118164,0.10000000149011612
8a,-9.441705703735352,-11.989999771118164,0.09000000357627869
8h,-12.078866958618164,-11.5600004196167,0.09000000357627869
8i,-9.97237777709961,-7.440000057220459,0.10000000149011612
8j,-11.535979270935059,-9.890000343322754,0.10000000149011612
8k,-11.348840713500977,-11.640000343322754,0.09000000357627869
8l,-11.24702262878418,-11.729999542236328,0.09000000357627869
8m,-11.838635444641113,-12.640000343322754,0.09000000357627869
8n,-10.138808250427246,-8.270000457763672,0.10000000149011612
8o,-10.67374324798584,-9.289999961853027,0.10000000149011612
8p,-11.589073181152344,-11.069999694824219,0.09000000357627869
